epoch,accuracy,learning_rate,loss,recall,val_accuracy,val_loss,val_recall
0,0.8796290159225464,0.0010000000474974513,0.34782087802886963,0.896690309047699,0.884851336479187,0.2318904846906662,0.9341176748275757
1,0.8946385979652405,0.0010000000474974513,0.2471175342798233,0.9218156337738037,0.8763835430145264,0.20922231674194336,0.9466666579246521
2,0.8958326578140259,0.0010000000474974513,0.23121675848960876,0.92337965965271,0.8780503869056702,0.20613689720630646,0.9466666579246521
3,0.8955299258232117,0.0010000000474974513,0.2273111492395401,0.9250782132148743,0.8767169117927551,0.20857812464237213,0.9411764740943909
4,0.8971275687217712,0.0010000000474974513,0.22486281394958496,0.9268271923065186,0.8744499087333679,0.20550741255283356,0.9505882263183594
5,0.8969594240188599,0.0010000000474974513,0.22406716644763947,0.9255995154380798,0.8864515423774719,0.19545525312423706,0.930980384349823
6,0.8969089388847351,0.0010000000474974513,0.22321289777755737,0.9252631664276123,0.8789838552474976,0.206590473651886,0.9435294270515442
7,0.897766649723053,0.0010000000474974513,0.2225823551416397,0.9214119911193848,0.8899853229522705,0.20640306174755096,0.932548999786377
8,0.8972368836402893,0.0010000000474974513,0.2218789905309677,0.9270122051239014,0.8746499419212341,0.2049226611852646,0.9458823800086975
9,0.8978254795074463,0.0010000000474974513,0.22047218680381775,0.9243887066841125,0.8796505928039551,0.1991499811410904,0.9396078586578369
10,0.8971527814865112,0.0010000000474974513,0.2208065539598465,0.9236487150192261,0.8824509978294373,0.20387963950634003,0.9403921365737915
11,0.8986495733261108,0.0005000000237487257,0.2159208059310913,0.9284080862998962,0.8824509978294373,0.20056886970996857,0.9388235211372375
12,0.8993138670921326,0.0005000000237487257,0.21381381154060364,0.9324442744255066,0.8721829652786255,0.20125481486320496,0.9474509954452515
13,0.8990615606307983,0.0005000000237487257,0.21259158849716187,0.930897057056427,0.8815175294876099,0.19670844078063965,0.9435294270515442
14,0.8998688459396362,0.0005000000237487257,0.21241019666194916,0.9295011758804321,0.8787171840667725,0.19715777039527893,0.9419608116149902
15,0.8999192714691162,0.0005000000237487257,0.21142733097076416,0.9327637553215027,0.8735831379890442,0.19744543731212616,0.9443137049674988
