accuracy,loss,recall,val_accuracy,val_loss,val_recall,learning_rate
0.8844976425170898,0.378970742225647,0.9122969508171082,0.9033871293067932,0.23689289391040802,0.9043137431144714,0.0010000000474974513
0.8989943265914917,0.2576448619365692,0.922437846660614,0.8789172172546387,0.22740605473518372,0.9388235211372375,0.0010000000474974513
0.9016346335411072,0.2317730039358139,0.9224546551704407,0.9139885306358337,0.1843835413455963,0.8980392217636108,0.0010000000474974513
0.9012898802757263,0.22252017259597778,0.917308509349823,0.918122410774231,0.19193397462368011,0.8815686106681824,0.0010000000474974513
0.9023157358169556,0.21890754997730255,0.9178298711776733,0.8935191631317139,0.1971217691898346,0.9278431534767151,0.0010000000474974513
0.902492344379425,0.216803178191185,0.9206047654151917,0.9221896529197693,0.1607779711484909,0.8721568584442139,0.0010000000474974513
0.9036948084831238,0.2145984172821045,0.9261208772659302,0.9080544114112854,0.18862412869930267,0.9074509739875793,0.0010000000474974513
0.9034425616264343,0.2134726494550705,0.9260199666023254,0.8985864520072937,0.16946722567081451,0.910588264465332,0.0010000000474974513
0.903484582901001,0.2133280336856842,0.9196293354034424,0.9181891083717346,0.16432559490203857,0.8682352900505066,0.0010000000474974513
0.9037536382675171,0.21252699196338654,0.9245232343673706,0.9080544114112854,0.18274188041687012,0.8901960849761963,0.0010000000474974513
0.9028791785240173,0.2119522988796234,0.920049786567688,0.9218562245368958,0.176477313041687,0.8752940893173218,0.0010000000474974513
0.9056540131568909,0.20334383845329285,0.9193938970565796,0.91312175989151,0.18717975914478302,0.8917647004127502,0.0005000000237487257
0.9058306217193604,0.20047183334827423,0.9221687912940979,0.8862515091896057,0.18621939420700073,0.9333333373069763,0.0005000000237487257
0.9057465195655823,0.19985242187976837,0.9167367219924927,0.9161221385002136,0.16937287151813507,0.8925490379333496,0.0005000000237487257
0.9063435196876526,0.19787004590034485,0.9202516078948975,0.9044539332389832,0.17190779745578766,0.8854901790618896,0.0005000000237487257
0.906251072883606,0.19813041388988495,0.9352191090583801,0.892185628414154,0.16438868641853333,0.912156879901886,0.0005000000237487257
